device,packet_window,total_bytes,avg_packet_size,max_packet_size,min_packet_size,tcp_ratio,unique_dest_ports,unique_dest_ips,device_type
00:16:6c:ab:6b:88,133,379428,379.428,1236,66,0.368,23,3,IoT
00:16:6c:ab:6b:88,134,378788,378.788,1236,66,0.368,22,3,IoT
00:16:6c:ab:6b:88,135,337356,337.356,1236,66,0.446,32,9,IoT
00:16:6c:ab:6b:88,136,319686,319.686,1236,66,0.434,20,12,IoT
00:16:6c:ab:6b:88,137,316423,316.423,1236,66,0.463,24,9,IoT
00:16:6c:ab:6b:88,138,311521,311.521,1236,66,0.453,20,12,IoT
00:16:6c:ab:6b:88,139,352970,352.97,1236,66,0.408,22,8,IoT
00:16:6c:ab:6b:88,140,319992,319.992,1236,66,0.438,20,8,IoT
00:16:6c:ab:6b:88,141,349026,349.026,1236,66,0.408,24,9,IoT
00:16:6c:ab:6b:88,142,328275,328.275,1236,66,0.459,26,9,IoT
00:16:6c:ab:6b:88,143,294707,294.707,1236,66,0.473,18,11,IoT
00:16:6c:ab:6b:88,144,292920,292.92,1236,66,0.49,20,9,IoT
00:16:6c:ab:6b:88,145,338726,338.726,1236,66,0.43,24,10,IoT
00:16:6c:ab:6b:88,146,357186,357.186,1236,66,0.396,24,8,IoT
00:16:6c:ab:6b:88,147,368890,368.89,1236,66,0.354,20,7,IoT
00:16:6c:ab:6b:88,148,362856,362.856,1236,66,0.386,24,8,IoT
00:16:6c:ab:6b:88,149,373373,373.373,1236,66,0.363,25,6,IoT
00:16:6c:ab:6b:88,150,340131,340.131,1236,66,0.437,27,8,IoT
00:16:6c:ab:6b:88,151,360892,360.892,1236,66,0.412,28,7,IoT
00:16:6c:ab:6b:88,152,364048,364.048,1236,66,0.384,24,7,IoT
00:16:6c:ab:6b:88,153,333346,333.346,1236,66,0.424,22,8,IoT
00:16:6c:ab:6b:88,154,237400,237.4,1236,66,0.556,16,11,IoT
00:16:6c:ab:6b:88,155,222316,222.316,1236,66,0.592,18,11,IoT
00:16:6c:ab:6b:88,156,215712,215.712,1236,66,0.59,15,10,IoT
00:16:6c:ab:6b:88,157,260962,260.962,1236,66,0.528,18,9,IoT
00:16:6c:ab:6b:88,158,266270,266.27,1236,66,0.512,16,13,IoT
00:16:6c:ab:6b:88,159,270832,270.832,1236,66,0.516,18,11,IoT
00:16:6c:ab:6b:88,160,229373,229.373,1236,66,0.575,16,8,IoT
00:16:6c:ab:6b:88,161,267283,267.283,1236,66,0.507,16,11,IoT
00:16:6c:ab:6b:88,162,274108,274.108,1236,66,0.512,19,10,IoT
00:16:6c:ab:6b:88,163,333288,333.288,1236,66,0.424,22,10,IoT
00:16:6c:ab:6b:88,164,352734,352.734,1236,66,0.422,27,9,IoT
00:16:6c:ab:6b:88,165,350419,350.419,1236,66,0.399,23,9,IoT
00:16:6c:ab:6b:88,166,360979,360.979,1236,66,0.395,26,7,IoT
00:16:6c:ab:6b:88,167,341690,341.69,1236,66,0.418,23,10,IoT
00:16:6c:ab:6b:88,168,378048,378.048,1236,66,0.372,24,4,IoT
00:16:6c:ab:6b:88,169,379450,379.45,1236,66,0.366,23,3,IoT
00:16:6c:ab:6b:88,170,375780,375.78,1236,66,0.39,25,3,IoT
00:16:6c:ab:6b:88,171,375838,375.838,1236,66,0.392,26,3,IoT
00:16:6c:ab:6b:88,172,378292,378.292,1236,66,0.372,23,3,IoT
00:16:6c:ab:6b:88,173,376344,376.344,1236,66,0.386,25,3,IoT
00:16:6c:ab:6b:88,174,377072,377.072,1236,66,0.38,22,3,IoT
00:16:6c:ab:6b:88,175,364332,364.332,1236,66,0.384,24,7,IoT
00:16:6c:ab:6b:88,176,347500,347.5,1236,66,0.398,24,10,IoT
00:16:6c:ab:6b:88,177,345204,345.204,1236,66,0.382,18,9,IoT
00:16:6c:ab:6b:88,178,351722,351.722,1236,66,0.42,26,7,IoT
00:16:6c:ab:6b:88,179,367903,367.903,1236,66,0.401,31,6,IoT
00:16:6c:ab:6b:88,180,374315,374.315,1236,66,0.409,29,3,IoT
00:16:6c:ab:6b:88,181,364504,364.504,1236,66,0.38,23,7,IoT
00:16:6c:ab:6b:88,182,352597,352.597,1236,66,0.427,28,7,IoT
00:16:6c:ab:6b:88,183,332609,332.609,1236,66,0.437,24,7,IoT
00:16:6c:ab:6b:88,184,327944,327.944,1236,66,0.442,22,7,IoT
00:16:6c:ab:6b:88,185,330272,330.272,1236,66,0.406,17,7,IoT
00:16:6c:ab:6b:88,186,344726,344.726,1236,66,0.394,20,7,IoT
00:16:6c:ab:6b:88,187,355516,355.516,1236,66,0.408,26,7,IoT
00:16:6c:ab:6b:88,188,359538,359.538,1236,66,0.416,36,6,IoT
00:16:6c:ab:6b:88,189,362879,362.879,1236,66,0.388,45,8,IoT
00:16:6c:ab:6b:88,190,366035,366.035,1236,66,0.373,39,7,IoT
00:16:6c:ab:6b:88,191,363060,363.06,1236,66,0.398,46,10,IoT
00:16:6c:ab:6b:88,192,361590,361.59,1236,66,0.39,43,10,IoT
00:16:6c:ab:6b:88,193,346646,346.646,1236,66,0.42,50,10,IoT
00:16:6c:ab:6b:88,194,364838,364.838,1236,66,0.388,49,9,IoT
00:16:6c:ab:6b:88,195,365661,365.661,1236,66,0.387,44,7,IoT
00:16:6c:ab:6b:88,196,365140,365.14,1236,66,0.387,48,10,IoT
00:16:6c:ab:6b:88,197,363538,363.538,1236,66,0.39,44,8,IoT
00:16:6c:ab:6b:88,198,375316,375.316,1236,66,0.361,44,8,IoT
00:16:6c:ab:6b:88,199,362305,362.305,1236,66,0.407,52,9,IoT
00:16:6c:ab:6b:88,200,378249,378.249,1236,66,0.371,44,3,IoT
00:16:6c:ab:6b:88,201,382142,382.142,1236,66,0.35,38,3,IoT
00:16:6c:ab:6b:88,202,378148,378.148,1236,66,0.374,44,3,IoT
00:16:6c:ab:6b:88,203,378224,378.224,1236,66,0.376,45,3,IoT
00:16:6c:ab:6b:88,204,376983,376.983,1236,66,0.382,48,5,IoT
00:16:6c:ab:6b:88,205,372926,372.926,1236,66,0.372,43,7,IoT
00:16:6c:ab:6b:88,206,373682,373.682,1236,66,0.374,43,6,IoT
00:16:6c:ab:6b:88,207,353175,353.175,1236,66,0.39,39,11,IoT
00:16:6c:ab:6b:88,208,357222,357.222,1236,66,0.406,45,8,IoT
00:16:6c:ab:6b:88,209,269309,269.309,1236,66,0.515,29,9,IoT
00:16:6c:ab:6b:88,210,198489,198.489,1236,66,0.623,18,9,IoT
00:16:6c:ab:6b:88,211,176535,176.535,1236,66,0.655,16,9,IoT
00:16:6c:ab:6b:88,212,174471,174.471,1236,66,0.663,16,9,IoT
00:16:6c:ab:6b:88,213,180754,180.754,1236,66,0.662,21,9,IoT
00:16:6c:ab:6b:88,214,292719,292.719,1261,66,0.479,31,10,IoT
00:16:6c:ab:6b:88,215,306541,306.541,1236,66,0.471,33,8,IoT
00:16:6c:ab:6b:88,216,371999,371.999,1236,66,0.369,42,7,IoT
00:16:6c:ab:6b:88,217,348706,348.706,1236,66,0.405,41,9,IoT
00:16:6c:ab:6b:88,218,380160,380.16,1236,66,0.362,41,3,IoT
00:16:6c:ab:6b:88,219,378808,378.808,1236,66,0.361,44,5,IoT
00:16:6c:ab:6b:88,220,368114,368.114,1236,66,0.384,43,7,IoT
00:16:6c:ab:6b:88,221,356445,356.445,1236,66,0.409,46,7,IoT
00:16:6c:ab:6b:88,222,368670,368.67,1236,66,0.374,41,7,IoT
00:16:6c:ab:6b:88,223,349914,349.914,1236,66,0.392,36,9,IoT
00:16:6c:ab:6b:88,224,363029,363.029,1236,66,0.395,45,9,IoT
00:16:6c:ab:6b:88,225,354507,354.507,1236,66,0.395,40,10,IoT
00:16:6c:ab:6b:88,226,359443,359.443,1236,66,0.398,45,7,IoT
00:16:6c:ab:6b:88,227,357369,357.369,1236,66,0.391,41,9,IoT
00:16:6c:ab:6b:88,228,364468,364.468,1236,66,0.379,40,10,IoT
00:16:6c:ab:6b:88,229,364951,364.951,1236,66,0.377,39,7,IoT
00:16:6c:ab:6b:88,230,369898,369.898,1236,66,0.372,40,7,IoT
00:16:6c:ab:6b:88,231,368321,368.321,1236,66,0.361,35,9,IoT
00:16:6c:ab:6b:88,232,364869,364.869,1236,66,0.383,42,7,IoT
00:16:6c:ab:6b:88,233,365068,365.068,1236,66,0.378,41,8,IoT
00:16:6c:ab:6b:88,234,361000,361.0,1236,66,0.39,42,10,IoT
00:16:6c:ab:6b:88,235,356985,356.985,1236,66,0.394,41,9,IoT
00:16:6c:ab:6b:88,236,372694,372.694,1236,66,0.374,43,7,IoT
00:16:6c:ab:6b:88,237,370653,370.653,1236,66,0.371,43,9,IoT
00:16:6c:ab:6b:88,238,378842,378.842,1236,66,0.368,42,3,IoT
00:16:6c:ab:6b:88,239,352558,352.558,1236,66,0.387,37,10,IoT
00:16:6c:ab:6b:88,240,377010,377.01,1236,66,0.364,43,6,IoT
00:16:6c:ab:6b:88,241,380720,380.72,1236,66,0.358,40,3,IoT
00:16:6c:ab:6b:88,242,377538,377.538,1236,66,0.356,38,6,IoT
00:16:6c:ab:6b:88,243,363471,363.471,1236,66,0.385,43,8,IoT
00:16:6c:ab:6b:88,244,361167,361.167,1236,66,0.383,39,11,IoT
00:16:6c:ab:6b:88,245,369780,369.78,1236,66,0.379,46,8,IoT
00:16:6c:ab:6b:88,246,350829,350.829,1236,66,0.397,38,11,IoT
00:16:6c:ab:6b:88,247,357326,357.326,1236,66,0.392,40,8,IoT
00:16:6c:ab:6b:88,248,333911,333.911,1236,66,0.424,37,9,IoT
00:16:6c:ab:6b:88,249,307043,307.043,1236,66,0.471,36,11,IoT
00:16:6c:ab:6b:88,250,304328,304.328,1236,66,0.478,35,16,IoT
00:16:6c:ab:6b:88,251,277963,277.963,1236,66,0.503,30,14,IoT
00:16:6c:ab:6b:88,252,350120,350.12,1236,66,0.402,40,9,IoT
00:16:6c:ab:6b:88,253,307655,307.655,1236,66,0.479,39,9,IoT
00:16:6c:ab:6b:88,254,177173,177.173,1236,66,0.663,18,11,IoT
00:16:6c:ab:6b:88,255,249008,249.008,1236,66,0.562,30,9,IoT
00:16:6c:ab:6b:88,256,359226,359.226,1236,66,0.396,44,9,IoT
00:16:6c:ab:6b:88,257,364389,364.389,1236,66,0.382,43,9,IoT
00:16:6c:ab:6b:88,258,380231,380.231,1236,66,0.359,40,3,IoT
00:16:6c:ab:6b:88,259,372661,372.661,1236,66,0.43,82,5,IoT
00:16:6c:ab:6b:88,260,377520,377.52,1236,66,0.382,52,4,IoT
00:16:6c:ab:6b:88,261,377608,377.608,1236,66,0.38,46,3,IoT
00:16:6c:ab:6b:88,262,379478,379.478,1236,66,0.368,43,3,IoT
00:16:6c:ab:6b:88,263,379926,379.926,1236,66,0.36,40,3,IoT
00:16:6c:ab:6b:88,264,376804,376.804,1236,66,0.384,46,3,IoT
00:16:6c:ab:6b:88,265,378379,378.379,1236,66,0.362,45,5,IoT
00:16:6c:ab:6b:88,266,380281,380.281,1236,66,0.367,42,3,IoT
00:16:6c:ab:6b:88,267,374816,374.816,1236,66,0.406,64,4,IoT
00:16:6c:ab:6b:88,268,369713,369.713,1236,66,0.454,95,5,IoT
00:16:6c:ab:6b:88,269,372456,372.456,1236,66,0.428,84,4,IoT
00:16:6c:ab:6b:88,270,376402,376.402,1236,66,0.4,63,4,IoT
00:16:6c:ab:6b:88,271,375324,375.324,1236,66,0.402,62,4,IoT
00:16:6c:ab:6b:88,272,375268,375.268,1236,66,0.402,61,4,IoT
00:16:6c:ab:6b:88,273,376648,376.648,1236,66,0.388,54,4,IoT
00:16:6c:ab:6b:88,274,378942,378.942,1236,66,0.372,44,3,IoT
00:16:6c:ab:6b:88,275,377901,377.901,1236,66,0.361,42,6,IoT
00:16:6c:ab:6b:88,276,376729,376.729,1236,66,0.365,43,6,IoT
00:16:6c:ab:6b:88,277,307354,307.354,1236,66,0.465,37,12,IoT
00:16:6c:ab:6b:88,278,346924,346.924,1236,66,0.424,51,11,IoT
00:16:6c:ab:6b:88,279,261907,261.907,1236,66,0.555,48,12,IoT
00:16:6c:ab:6b:88,280,245656,245.656,1236,66,0.564,30,13,IoT
00:16:6c:ab:6b:88,281,251939,251.939,1236,66,0.547,32,14,IoT
00:16:6c:ab:6b:88,282,230674,230.674,1236,66,0.58,28,15,IoT
00:16:6c:ab:6b:88,283,204852,204.852,1236,66,0.614,22,13,IoT
00:16:6c:ab:6b:88,284,241261,241.261,1236,66,0.558,26,11,IoT
00:16:6c:ab:6b:88,285,376636,376.636,1236,66,0.362,41,6,IoT
00:16:6c:ab:6b:88,286,364267,364.267,1236,66,0.387,44,7,IoT
00:16:6c:ab:6b:88,287,377300,377.3,1236,66,0.366,44,6,IoT
00:16:6c:ab:6b:88,288,373931,373.931,1236,66,0.381,48,6,IoT
00:16:6c:ab:6b:88,289,380506,380.506,1236,66,0.356,40,3,IoT
00:16:6c:ab:6b:88,290,380812,380.812,1236,66,0.36,41,3,IoT
00:16:6c:ab:6b:88,291,379159,379.159,1236,66,0.367,39,3,IoT
00:16:6c:ab:6b:88,292,378452,378.452,1236,66,0.374,44,3,IoT
00:16:6c:ab:6b:88,293,381236,381.236,1236,66,0.351,39,4,IoT
00:16:6c:ab:6b:88,294,379434,379.434,1236,66,0.366,42,3,IoT
00:16:6c:ab:6b:88,295,374597,374.597,1236,66,0.37,45,7,IoT
00:16:6c:ab:6b:88,296,379556,379.556,1236,66,0.366,42,3,IoT
00:16:6c:ab:6b:88,297,382055,382.055,1236,66,0.347,37,3,IoT
00:16:6c:ab:6b:88,298,380969,380.969,1236,66,0.355,39,3,IoT
00:16:6c:ab:6b:88,299,380957,380.957,1236,66,0.355,39,3,IoT
00:16:6c:ab:6b:88,300,380438,380.438,1236,66,0.36,41,3,IoT
00:16:6c:ab:6b:88,301,379527,379.527,1236,66,0.366,42,4,IoT
00:16:6c:ab:6b:88,302,382528,382.528,1236,66,0.346,37,3,IoT
00:16:6c:ab:6b:88,303,376011,376.011,1236,66,0.378,48,5,IoT
00:16:6c:ab:6b:88,304,378556,378.556,1236,66,0.37,45,3,IoT
00:16:6c:ab:6b:88,305,379392,379.392,1236,66,0.374,43,3,IoT
00:16:6c:ab:6b:88,306,371824,371.824,1236,66,0.372,43,7,IoT
00:16:6c:ab:6b:88,307,336520,336.52,1236,66,0.43,42,10,IoT
00:16:6c:ab:6b:88,308,351356,351.356,1236,66,0.406,39,10,IoT
00:16:6c:ab:6b:88,309,364813,364.813,1236,66,0.375,39,9,IoT
00:16:6c:ab:6b:88,310,364617,364.617,1236,66,0.388,45,9,IoT
00:16:6c:ab:6b:88,311,343902,343.902,1236,66,0.4,36,13,IoT
00:16:6c:ab:6b:88,312,381426,381.426,1236,66,0.349,39,5,IoT
00:16:6c:ab:6b:88,313,376604,376.604,1236,66,0.382,47,3,IoT
00:16:6c:ab:6b:88,314,379096,379.096,1236,66,0.372,44,3,IoT
00:16:6c:ab:6b:88,315,380142,380.142,1236,66,0.366,42,3,IoT
00:16:6c:ab:6b:88,316,379853,379.853,1236,66,0.365,41,3,IoT
00:16:6c:ab:6b:88,317,380835,380.835,1236,66,0.355,40,3,IoT
00:16:6c:ab:6b:88,318,379513,379.513,1236,66,0.365,42,3,IoT
00:16:6c:ab:6b:88,319,373633,373.633,1236,66,0.386,51,6,IoT
00:16:6c:ab:6b:88,320,380538,380.538,1236,66,0.356,40,3,IoT
00:16:6c:ab:6b:88,321,380786,380.786,1236,66,0.347,39,5,IoT
00:16:6c:ab:6b:88,322,379004,379.004,1236,66,0.37,41,3,IoT
00:16:6c:ab:6b:88,323,377126,377.126,1236,66,0.381,47,4,IoT
00:16:6c:ab:6b:88,324,381739,381.739,1236,66,0.355,40,3,IoT
00:16:6c:ab:6b:88,325,379434,379.434,1236,66,0.366,43,3,IoT
00:16:6c:ab:6b:88,326,380757,380.757,1236,66,0.353,39,3,IoT
00:16:6c:ab:6b:88,327,381212,381.212,1236,66,0.352,37,3,IoT
00:16:6c:ab:6b:88,328,380587,380.587,1236,66,0.361,41,3,IoT
00:16:6c:ab:6b:88,329,379060,379.06,1236,66,0.361,44,5,IoT
00:16:6c:ab:6b:88,330,381238,381.238,1236,66,0.354,39,3,IoT
00:16:6c:ab:6b:88,331,357543,357.543,1236,66,0.39,40,11,IoT
00:16:6c:ab:6b:88,332,336927,336.927,1236,66,0.421,39,14,IoT
00:16:6c:ab:6b:88,333,346542,346.542,1236,66,0.404,38,11,IoT
00:16:6c:ab:6b:88,334,368063,368.063,1236,66,0.383,44,8,IoT
00:16:6c:ab:6b:88,335,377789,377.789,1236,66,0.377,44,3,IoT
00:16:6c:ab:6b:88,336,378144,378.144,1236,66,0.376,43,3,IoT
00:16:6c:ab:6b:88,337,381110,381.11,1236,66,0.354,39,3,IoT
